,ITEM,DesignItemId,Quantity,Designator,Value,Description,Footprint,Manufacturer,Manufacturer Part Number,#Column Name Error:' MANUFACTURER Lifecycle 1,#Column Name Error:' Supplier 1,#Column Name Error:' Supplier Part Number 1,Case/Package,Case/Packages,Max Power Dissipation,Res/ESR,Voltage Rating,Power Rating,Pins,LibRef,Max Operating Temperature,Min Operating Temperature,Tolerance,Frequency
,112,CMP-RES-000274-R,3,"R700, R701, R702",5.1KOhms,RES 5.1K OHM 5% 1/10W ±100ppm Thick Film 0603 SMD,RESC1608X50N,Yageo,AC0603JR-075K1L,,,,0603,,,,,1/10W,2,CMP-RES-000274-R,155°C,-55°C,5%,
,113,CMP-RES-000176-C,39,"R703, R704, R705, R706, R707, R708, R709, R710, R711, R712, R713, R714, R715, R716, R717, R718, R719, R720, R724, R725, R726, R727, R728, R729, R730, R731, R732, R733, R734, R735, R736, R737, R738, R739, R741, R742, R743, R744, R745",30.1 OHM,RES 30.1 OHM 1% 1/16W 100ppm Thk Film 0402 SMD,RESC1005X45N,Vishay Dale,CRCW040230R1FKED,,,,0402,,,,,63mW,2,CMP-RES-000176-C,155°C,-55°C,1%,
,114,CMP-SWT-000005-4,1,SW300,TL1015AF160QG,Switch Tactile N.O. SPST Button J-Bend 0.05A 12VDC 200000Cycles 1.57N SMD T/R,TL1015AF160QG,E-SWITCH,TL1015AF160QG,,,,,EVQ-P2402M,,,12V,,2,CMP-SWT-000005-4,70°C,-20°C,,
,115,CMP-TFM-000010-9,1,T100,8H,"Pulse Transformer, 2: 1, 8 H, 0.015 Ohm, 1.5 Kv",750311590_FP,Wurth,750311590,,,,,WB-FB,,,1.5kV,,12,CMP-TFM-000010-9,85°C,-40°C,,150kHz
,116,CMP-MEC-000029-3,3,"TH1, TH2, TH3",4040 NPTH,MTG HOLE NON PLATED 4-40 NPTH,MTG HOLE NON PLATED 4-40 NPTH-Footprint-1,N/A,N/A,,,,,MTG HOLE PLATED 4-40 PTH,,,,,1,CMP-MEC-000029-3,,,,
,117,CMP-MEC-000000-5,8,"TP1_GND, TP1_NVIN, TP2_GND, TP2_NVIN, TP3_GND, TP3_NVIN, TP4_NVIN, TP5_NVIN",BLK,TEST POINT THM BLK 5011,TP-5011-BLK,Keystone,5011,,,,,TP-5011-BLK,,,,,1,CMP-MEC-000000-5,,,,
,118,CMP-MEC-000004-4,12,"TP_XHA, TP_XHB, TP_XHC, TP_XLA, TP_XLB, TP_XLC, TP_YHA, TP_YHB, TP_YHC, TP_YLA, TP_YLB, TP_YLC",YEL,TEST POINT THM YEL 5014,TP-5014-YEL,Keystone,5014,,,,,TP-5014-YEL,,,,,1,CMP-MEC-000004-4,,,,
,119,CMP-ICS-000243-3,3,"U4X, U4Y, U6",TPS7A2601DRVT,Low-Dropout Linear Voltage Regulator 1.24V to 17.45V 0.5A 6-Pin WSON T/R,WSON200X200X080-7N,texas instruments,TPS7A2601DRVT,,,,,WSON 6PIN,,,,,7,CMP-ICS-000243-3,125°C,-40°C,,
,120,CMP-ICS-000279-1,1,U5,NCP718BSN330T1G,"LDO Regulator, 300 mA, Wide Vin, Ultra-Low Iq Fixed 3.3V, Non-Active Discharge, TSOT23-5",SOT95P290X100-5N,ON SEMI,NCP718BSN330T1G,,,,,TSOT-23-5,,,24V,,5,CMP-ICS-000279-1,150°C,-55°C,,
,121,CMP-ICS-000211-17,1,U7,LM3880QMF-1AD,IC PWR SUPPLY SEQUENCER LM3880QMF-1AD SOT23-6,SOT95P280X145-6N,Texas Instruments,LM3880QMF-1AD,,,,,SOT95P280X145-6N,,,5.5V,,6,CMP-ICS-000211-17,125°C,-40°C,,
,122,CMP-ICS-000093-8,3,"U8, U21, U804",LTC2308IUF,IC ADC 12BIT SAR 500Ksps LTC2308IUF 24QFN,QFN25P50_400X400X80L40X25T245N,Analog Devices,LTC2308IUF#PBF,,,,,24QFN,,,5.25V,,25,CMP-ICS-000093-8,85°C,-40°C,,
,123,CMP-ICS-000187-5,3,"U9, U50, U100",LTM8074IY#PBF,Module DC-DC 1-OUT 0.8V to 12V 1.2A Automotive 25-Pin BGA Tray,BGA25C65P5X5_400X400X198,ANALOG DEVICES,LTM8074IY#PBF,,,,,BGA 25,,,,,25,CMP-ICS-000187-5,125°C,-40°C,,
,124,CMP-ICS-000112-5,1,U10,MPF300T-FCG784I,IC FPGA 388 I/O PolarFire MPF300T-FCG784I 784FBGA,BGA784CP100_28X28_2900X2900X347B64N,Microchip,MPF300T-FCG784I,,,,,784FBGA,,,3.3V,,784,CMP-ICS-000112-5,100°C,-40°C,,
,125,CMP-ICS-000082-5,8,"U11, U14, U25, U33, U34, U38, U41, U45",LTC2323HUFD-16,IC ADC 16BIT 2-CH DIFF SAR LTC2323HUFD-16 28QFN,QFN29P50_500X400X80L40X25T365X265N,Analog Devices,LTC2323HUFD-16#PBF,,,,,28QFN,,,5.25V,,29,CMP-ICS-000082-5,125°C,-40°C,,
,126,CMP-ICS-000500-G,14,"U12, U13, U16, U26, U28, U29, U30, U32, U35, U36, U37, U39, U40, U42",AD8132WARMZ-R7,IC OPAMP DIFF 350MHz AD8132WARMZ-R7 MSOP-8,FP-RM-8-IPC_B,Analog Devices,AD8132WARMZ-R7,,,,,MSOP-8,,,5.5V,,8,CMP-ICS-000500-G,125°C,-40°C,,
,127,CMP-ICS-000080-4,5,"U17, U18, U19, U20, U22",LTM2881MPY-3,IC DGTL ISO 2.5KV RS422/RS485 LTM2881MPY-3 32BGA,BGA32CP127_11X8_1500X1125X362B75N,Analog Devices,LTM2881MPY-3#PBF,,,,,32BGA,,,3.6V,,32,CMP-ICS-000080-4,105°C,-55°C,,
,128,CMP-ICS-000242-5,1,U43,ADXL314WBCPZ-RL,"±200 g Range, 3-Axis Digital Accelerometer",QFN50P500X500X145_HS-33N,ANALOG DEVICES,ADXL314WBCPZ-RL,,,,,CSP,,,,,16,CMP-ICS-000242-5,140°C,-40°C,,
,129,CMP-ICS-000244-3,1,U55,TPS7A7401DSDR,1.5-A low-dropout (LDO) linear regulator with programmable soft start 8-SON -40 to 125,WSON300X300X90-9N,TEXAS INSTRUMENTS,TPS7A7401DSDR,,,,,WSON-8,,,,,9,CMP-ICS-000244-3,150°C,-40°C,,
,130,CMP-ICS-000239-2,1,U101,LTM8021EV#PBF,Conv DC-DC 3V to 36V Step Down Single-Out 0.8V to 5V 0.5A uModule Automotive 35-Pin LGA,LT-LGA-35-11250X6250X2820_V,Linear Technology,LTM8021EV#PBF,,,,,LGA,,,,,35,CMP-ICS-000239-2,125°C,-40°C,,
,131,CMP-ICS-000097-2,1,U102,LT3748HMS,IC VREG CTRLR FLYBACK 100KHz CM 100V LT3748HMS 16MSOP,SOP16-12P50_403X490X110L53X22N,Analog Devices,LT3748HMS#PBF,,,,,16MSOP,,,100V,,12,CMP-ICS-000097-2,150°C,-40°C,,
,132,CMP-ICS-000086-14,3,"U103, U104, U112",INA197AQDBV,IC CURRENT MONITOR 50 V/V 3% INA197AQDBV SOT23-5,SOT95P280X145-5N,Texas Instruments,INA197AQDBVRQ1,,,,,SOT95P280X145-5N,,,80V,,5,CMP-ICS-000086-14,125°C,-55°C,,
,133,CMP-ICS-000180-3,1,U105,ADC128S052-Q1,ADC Single SAR 500ksps 12-bit Serial 16-Pin TSSOP Rail,SOP65P640X120-16N,TEXAS INSTRUMENTS (TI),ADC128S052-Q1,,,,TSSOP,TSOP(PW),8.7mW,,5.5V,,16,CMP-ICS-000180-3,125°C,-40°C,,
